#{"t_start": 1723821577.4061685, "env_id": "Cobrinha"}
r,l,t
8389.0,78,144.487975
-535.0,3,144.504959
53861.0,387,145.89601
36508.0,323,146.997961
8794.0,44,147.146961
15622.0,132,147.593972
11166.0,111,147.97196
19921.0,194,148.623961
27797.0,183,149.259964
23183.0,143,149.761963
27919.0,191,150.408961
-631.0,6,150.423961
8647.0,56,150.611961
22504.0,203,151.305544
1390.0,43,151.453534
22462.0,198,152.11555
10508.0,117,152.510585
19486.0,219,153.255552
20453.0,147,153.752532
1769.0,22,153.822535
55556.0,452,181.979888
10833.0,127,182.47925
25492.0,165,183.092374
23964.0,282,184.16436
15257.0,138,184.627386
27694.0,197,185.307355
18220.0,124,185.729712
12962.0,110,186.094728
25552.0,151,186.605723
35090.0,233,187.396808
29878.0,221,188.149801
51005.0,400,189.523792
8680.0,57,189.72484
-527.0,2,189.726809
75323.0,533,191.562801
24701.0,237,192.376806
36266.0,335,193.510012
34243.0,330,194.674011
36936.0,296,195.684029
34138.0,291,196.677688
41883.0,300,197.691347
37809.0,381,198.982965
