#{"t_start": 1723735176.6394598, "env_id": "Cobrinha"}
r,l,t
1520.0,54,66.008209
8688.0,61,66.188238
25345.0,174,66.71322
12766.0,153,67.163227
8794.0,58,67.330913
19919.0,193,67.904983
12654.0,169,68.394301
6602.0,57,68.557302
-523.0,5,68.571024
6530.0,80,68.804537
8710.0,98,69.10486
20903.0,284,69.973822
15511.0,120,70.333875
1526.0,46,70.468833
20532.0,154,70.934823
10915.0,92,71.209836
17239.0,183,71.751874
-584.0,5,71.764822
8529.0,99,72.055872
18382.0,97,72.342834
4113.0,58,72.507834
13192.0,129,72.890835
-614.0,12,72.927834
8192.0,87,73.227827
-592.0,5,73.249821
8461.0,71,73.447832
-1236.0,47,73.586834
10459.0,112,73.916823
11067.0,82,74.170823
8682.0,47,74.320832
20654.0,136,74.733823
11168.0,68,74.945823
10793.0,100,75.246832
13773.0,107,75.567832
17595.0,179,76.104849
-521.0,4,76.116873
8516.0,79,76.360832
7743.0,134,76.758822
13382.0,93,77.029834
13325.0,115,77.369881
10476.0,119,77.720846
10190.0,133,78.109481
8055.0,148,78.541897
15163.0,153,78.98383
1687.0,26,79.065821
17303.0,198,79.657842
-606.0,6,79.679864
16411.0,93,79.959826
8442.0,73,80.178857
13464.0,90,80.462863
1524.0,54,80.619815
14207.0,64,80.811816
-621.0,7,80.834852
6467.0,61,81.016814
6493.0,61,81.204815
-508.0,1,81.205814
11399.0,93,81.481863
8250.0,118,81.835837
-555.0,3,81.837828
-673.0,9,81.873815
-522.0,1,81.875818
16013.0,95,82.168828
10819.0,99,82.460814
15590.0,120,82.809886
-506.0,1,82.819883
-544.0,11,82.846885
23152.0,138,83.254885
11569.0,68,83.462936
8541.0,112,83.788884
13266.0,127,84.170742
-506.0,1,84.170742
1374.0,52,84.328746
22868.0,183,84.960728
13096.0,107,85.348744
13251.0,105,85.74873
20355.0,171,86.298738
17862.0,171,86.815737
6275.0,96,87.09775
21836.0,242,87.811782
8348.0,85,88.061783
-706.0,15,88.108727
13156.0,114,88.443819
22509.0,201,89.035817
-618.0,5,89.056818
8410.0,86,89.311054
-520.0,1,89.312056
8308.0,92,89.590288
27272.0,238,90.314298
20820.0,124,90.689353
-556.0,4,90.701287
7893.0,115,91.0513
7779.0,124,91.424299
-516.0,1,91.426288
15761.0,110,93.578675
-612.0,6,93.600669
17792.0,161,94.074662
18029.0,146,94.516708
15520.0,180,95.067671
13360.0,111,95.395658
16203.0,77,95.639658
17809.0,142,96.062035
-645.0,9,96.087027
35165.0,255,96.861041
13227.0,115,97.20476
10543.0,117,97.549738
12864.0,130,97.938737
-600.0,11,97.964737
8374.0,87,98.223739
10205.0,132,98.610903
-502.0,2,98.621936
20518.0,148,99.073392
15903.0,128,99.450444
16387.0,110,99.779406
17844.0,164,100.273391
11582.0,196,100.866351
-524.0,2,100.87732
-570.0,12,100.917775
27985.0,183,101.469423
10818.0,100,101.777423
-564.0,3,101.788422
1686.0,27,101.872449
9025.0,63,102.063437
-537.0,3,102.06544
20386.0,153,102.528422
35305.0,210,103.147315
11005.0,77,103.370914
12746.0,136,103.770929
24325.0,240,104.51806
13035.0,125,104.935046
-542.0,2,104.936046
12849.0,129,105.351056
10415.0,125,105.731321
16033.0,88,106.003323
21858.0,219,106.66429
8201.0,91,106.94132
25566.0,168,107.441267
-689.0,9,107.467272
10850.0,102,107.776271
10013.0,140,108.18711
18607.0,120,108.540898
-513.0,1,108.542899
13137.0,123,108.911912
3899.0,65,109.103916
-555.0,3,109.113909
20623.0,138,109.518914
10899.0,82,109.771805
12125.0,168,110.281766
